anio,mes,dia,hora(utc),altura(mm)
2016,1,11,4,898
2016,1,11,5,1118
2016,1,11,6,1182
2016,1,11,7,1096
2016,1,11,8,907
2016,1,11,9,693
2016,1,11,10,531
2016,1,11,11,484
2016,1,11,12,581
2016,1,11,13,816
2016,1,11,14,1140
2016,1,11,15,1476
2016,1,11,16,1738
2016,1,11,17,1852
2016,1,11,18,1770
2016,1,11,19,1496
2016,1,11,20,1079
2016,1,11,21,603
2016,1,11,22,166
2016,1,11,23,-147
2016,1,12,0,-280
2016,1,12,1,-216
2016,1,12,2,20
2016,1,12,3,362
2016,1,12,4,725
2016,1,12,5,1024
2016,1,12,6,1193
2016,1,12,7,1202
2016,1,12,8,1071
2016,1,12,9,861
2016,1,12,10,649
2016,1,12,11,509
2016,1,12,12,493
2016,1,12,13,621
2016,1,12,14,873
2016,1,12,15,1190
2016,1,12,16,1494
2016,1,12,17,1704
2016,1,12,18,1757
2016,1,12,19,1623
2016,1,12,20,1318
2016,1,12,21,902
2016,1,12,22,461
2016,1,12,23,85
2016,1,13,0,-153
2016,1,13,1,-211
2016,1,13,2,-85
2016,1,13,3,185
2016,1,13,4,531
2016,1,13,5,871
2016,1,13,6,1128
2016,1,13,7,1248
2016,1,13,8,1215
2016,1,13,9,1058
2016,1,13,10,840
2016,1,13,11,637
2016,1,13,12,515
2016,1,13,13,518
2016,1,13,14,653
2016,1,13,15,892
2016,1,13,16,1175
2016,1,13,17,1430
2016,1,13,18,1587
2016,1,13,19,1596
2016,1,13,20,1438
2016,1,13,21,1139
2016,1,13,22,758
2016,1,13,23,378
2016,1,14,0,76
2016,1,14,1,-88
2016,1,14,2,-85
2016,1,14,3,78
2016,1,14,4,357
2016,1,14,5,687
2016,1,14,6,994
2016,1,14,7,1211
2016,1,14,8,1294
2016,1,14,9,1236
2016,1,14,10,1068
2016,1,14,11,852
2016,1,14,12,657
2016,1,14,13,543
2016,1,14,14,541
2016,1,14,15,655
2016,1,14,16,854
2016,1,14,17,1085
2016,1,14,18,1287
2016,1,14,19,1403
2016,1,14,20,1394
2016,1,14,21,1246
2016,1,14,22,986
2016,1,14,23,668
2016,1,15,0,363
2016,1,15,1,135
2016,1,15,2,32
2016,1,15,3,73
2016,1,15,4,247
2016,1,15,5,516
2016,1,15,6,819
2016,1,15,7,1094
2016,1,15,8,1281
2016,1,15,9,1343
2016,1,15,10,1275
2016,1,15,11,1108
2016,1,15,12,895
2016,1,15,13,700
2016,1,15,14,573
2016,1,15,15,542
2016,1,15,16,608
2016,1,15,17,750
2016,1,15,18,925
2016,1,15,19,1085
2016,1,15,20,1185
2016,1,15,21,1187
2016,1,15,22,1081
2016,1,15,23,885
2016,1,16,0,643
2016,1,16,1,411
2016,1,16,2,243
2016,1,16,3,179
2016,1,16,4,233
2016,1,16,5,400
2016,1,16,6,645
2016,1,16,7,922
2016,1,16,8,1174
2016,1,16,9,1346
2016,1,16,10,1404
2016,1,16,11,1338
2016,1,16,12,1173
2016,1,16,13,958
2016,1,16,14,747
2016,1,16,15,585
2016,1,16,16,502
2016,1,16,17,505
2016,1,16,18,586
2016,1,16,19,717
2016,1,16,20,858
2016,1,16,21,969
2016,1,16,22,1012
2016,1,16,23,969
2016,1,17,0,847
2016,1,17,1,677
2016,1,17,2,504
2016,1,17,3,374
2016,1,17,4,323
2016,1,17,5,371
2016,1,17,6,517
2016,1,17,7,741
2016,1,17,8,1000
2016,1,17,9,1244
2016,1,17,10,1417
2016,1,17,11,1481
2016,1,17,12,1421
2016,1,17,13,1255
2016,1,17,14,1023
2016,1,17,15,775
2016,1,17,16,559
2016,1,17,17,410
2016,1,17,18,351
2016,1,17,19,385
2016,1,17,20,494
2016,1,17,21,645
2016,1,17,22,795
2016,1,17,23,898
2016,1,18,0,925
2016,1,18,1,871
2016,1,18,2,755
2016,1,18,3,615
2016,1,18,4,496
2016,1,18,5,438
2016,1,18,6,467
2016,1,18,7,595
2016,1,18,8,806
2016,1,18,9,1064
