157.0,13483,-58.1,-89.1,1,0.00,254,78,365.0,365.0,365.0
151.0,13728,-59.1,-90.1,1,0.00,255,77,367.4,367.4,367.4
150.0,13770,-59.1,-90.1,1,0.00,255,77,368.1,368.1,368.1
144.1,14021,-59.6,-90.3,1,0.00,255,78,371.4,371.4,371.4
130.0,14665,-60.9,-90.9,1,0.00,258,72,380.2,380.2,380.2
126.0,14859,-62.1,-92.1,1,0.00,258,70,381.4,381.4,381.4
123.0,15008,-61.9,-91.9,1,0.00,259,68,384.4,384.4,384.4
118.5,15240,-63.2,-92.3,1,0.00,260,66,386.2,386.2,386.2
118.0,15265,-63.3,-92.3,1,0.00,260,66,386.4,386.4,386.4
116.0,15370,-63.3,-92.3,1,0.00,259,63,388.3,388.3,388.3
111.0,15641,-64.3,-92.3,1,0.00,258,58,391.4,391.4,391.4
107.0,15866,-64.1,-92.1,1,0.00,257,53,395.9,395.9,395.9
104.0,16040,-64.7,-92.7,1,0.00,256,50,398.0,398.0,398.0
100.0,16280,-64.1,-92.1,1,0.00,255,45,403.6,403.6,403.6
90.6,16879,-65.7,-92.7,1,0.00,262,43,412.0,412.0,412.0
86.7,17146,-64.7,-92.7,1,0.00,266,42,419.2,419.2,419.2
71.7,18288,-69.0,-93.4,2,0.00,280,37,433.6,433.6,433.6
70.0,18430,-69.5,-93.5,2,0.00,280,34,435.4,435.4,435.4
69.4,18481,-69.7,-93.7,2,0.00,281,34,436.0,436.0,436.0
64.8,18898,-67.5,-92.7,2,0.00,285,37,449.6,449.6,449.6
62.1,19152,-66.1,-92.1,2,0.00,318,23,458.0,458.1,458.0
61.6,19202,-66.1,-92.1,2,0.00,325,20,459.1,459.1,459.1
58.4,19526,-66.1,-92.1,2,0.00,309,17,466.1,466.2,466.1
55.7,19812,-67.7,-92.8,2,0.00,295,15,468.9,468.9,468.9
53.0,20117,-69.4,-93.5,2,0.00,300,21,471.7,471.8,471.7
52.8,20134,-69.5,-93.5,2,0.00,298,21,471.9,471.9,471.9
50.3,20422,-69.3,-93.3,2,0.00,260,15,478.9,478.9,478.9
50.0,20460,-69.3,-93.3,2,0.00,265,15,479.8,479.8,479.8
49.1,20568,-69.3,-93.3,2,0.00,277,16,482.3,482.3,482.3
47.8,20726,-68.5,-93.1,2,0.00,295,18,487.8,487.8,487.8
45.5,21031,-67.0,-92.7,2,0.00,285,19,498.6,498.6,498.6
43.2,21336,-65.4,-92.3,1,0.00,305,14,509.6,509.6,509.6
41.1,21641,-63.9,-91.9,1,0.00,340,14,520.9,520.9,520.9
41.1,21640,-63.9,-91.9,1,0.00,340,14,520.9,520.9,520.9
39.1,21946,-65.0,-93.0,1,0.00,10,19,525.6,525.7,525.6
37.8,22150,-65.7,-93.7,1,0.00,13,14,528.9,528.9,528.9
37.2,22250,-64.9,-93.3,1,0.00,15,11,533.5,533.5,533.5
35.2,22585,-62.1,-92.1,1,0.00,4,12,549.1,549.1,549.1
34.1,22780,-62.3,-92.3,1,0.00,357,12,553.6,553.6,553.6
32.9,23003,-58.9,-89.9,1,0.00,349,13,568.3,568.3,568.3
30.0,23580,-58.7,-89.7,1,0.00,330,14,584.0,584.1,584.0
29.1,23774,-58.8,-89.8,1,0.00,320,15,588.9,589.0,588.9
28.1,23991,-58.9,-89.9,1,0.00,259,10,594.5,594.5,594.5
26.4,24384,-57.9,-89.2,1,0.01,150,1,608.0,608.0,608.0
23.4,25150,-55.9,-87.9,1,0.01,46,7,635.2,635.3,635.2
21.8,25603,-56.1,-88.1,1,0.01,345,11,647.7,647.8,647.7
20.0,26150,-56.3,-88.3,1,0.01,40,16,663.1,663.2,663.1
19.8,26213,-56.2,-88.2,1,0.01,35,17,665.4,665.5,665.4
18.9,26518,-55.5,-87.5,1,0.01,340,4,676.6,676.7,676.6
18.3,26716,-55.1,-87.1,1,0.01,302,6,683.9,684.0,683.9
16.7,27304,-51.7,-84.7,1,0.02,189,13,713.0,713.2,713.0
16.4,27432,-51.6,-84.7,1,0.02,165,14,717.4,717.6,717.4
14.6,28178,-50.9,-84.9,1,0.02,42,3,743.5,743.8,743.6
14.2,28346,-50.3,-84.3,1,0.02,15,1,751.1,751.4,751.1
13.1,28887,-48.3,-82.3,1,0.04,329,5,775.9,776.3,775.9
11.3,29870,-48.8,-82.8,1,0.04,245,12,808.0,808.5,808.0
10.9,30096,-48.9,-82.9,1,0.04,252,12,815.6,816.1,815.6
10.4,30403,-50.5,-84.5,1,0.03,262,12,820.7,821.1,820.7
10.3,30480,-50.1,-84.1,1,0.03,265,12,825.0,825.4,825.0
10.0,30660,-49.1,-83.1,1,0.04,260,16,835.2,835.7,835.2
9.5,30998,-47.3,-82.3,1,0.05,268,19,854.3,854.9,854.3
9.4,31090,-47.4,-82.4,1,0.05,270,20,857.5,858.1,857.5
9.1,31282,-47.5,-82.5,1,0.05,270,19,864.1,864.7,864.1
8.9,31394,-46.5,-81.5,1,0.06,270,19,872.0,872.8,872.1
8.7,31581,-44.9,-79.9,1,0.08,291,18,885.4,886.4,885.4
8.6,31699,-45.0,-80.0,1,0.08,305,18,889.5,890.5,889.5
8.2,32004,-45.3,-80.3,1,0.08,285,19,900.1,901.2,900.2
7.5,32614,-45.8,-80.8,1,0.08,285,6,921.9,923.0,921.9
7.3,32750,-45.9,-80.9,1,0.08,267,7,926.8,927.9,926.8
7.0,33030,-44.9,-79.9,1,0.10,230,9,942.1,943.5,942.2
6.5,33528,-43.2,-78.7,1,0.13,285,8,969.5,971.3,969.6
6.1,33956,-41.7,-77.7,1,0.16,267,11,993.6,995.9,993.7
5.9,34138,-42.0,-78.0,1,0.15,260,12,999.9,1002.2,1000.0
